id_SubFed;degree;year;amount
0;Два и более высших образования;2021;783
0;Кандидаты наук;2021;40
0;Доктора наук;2021;2
1;Два и более высших образования;2021;140
1;Кандидаты наук;2021;5
1;Доктора наук;2021;0
2;Два и более высших образования;2021;173
2;Кандидаты наук;2021;12
2;Доктора наук;2021;0
3;Два и более высших образования;2021;562
3;Кандидаты наук;2021;37
3;Доктора наук;2021;1
4;Два и более высших образования;2021;326
4;Кандидаты наук;2021;5
4;Доктора наук;2021;0
5;Два и более высших образования;2021;225
5;Кандидаты наук;2021;7
5;Доктора наук;2021;0
6;Два и более высших образования;2021;490
6;Кандидаты наук;2021;8
6;Доктора наук;2021;0
7;Два и более высших образования;2021;260
7;Кандидаты наук;2021;5
7;Доктора наук;2021;0
8;Два и более высших образования;2021;1304
8;Кандидаты наук;2021;37
8;Доктора наук;2021;3
9;Два и более высших образования;2021;495
9;Кандидаты наук;2021;20
9;Доктора наук;2021;0
10;Два и более высших образования;2021;300
10;Кандидаты наук;2021;9
10;Доктора наук;2021;0
11;Два и более высших образования;2021;726
11;Кандидаты наук;2021;43
11;Доктора наук;2021;2
12;Два и более высших образования;2021;349
12;Кандидаты наук;2021;32
12;Доктора наук;2021;0
13;Два и более высших образования;2021;190
13;Кандидаты наук;2021;6
13;Доктора наук;2021;0
