id_SubFed;gender;year;amount
0;мужчины;2021;1295
0;женщины;2021;3412
1;мужчины;2021;298
1;женщины;2021;818
2;мужчины;2021;317
2;женщины;2021;791
3;мужчины;2021;1531
3;женщины;2021;3760
4;мужчины;2021;343
4;женщины;2021;1441
5;мужчины;2021;291
5;женщины;2021;958
6;мужчины;2021;533
6;женщины;2021;2562
7;мужчины;2021;441
7;женщины;2021;1375
8;мужчины;2021;997
8;женщины;2021;2808
9;мужчины;2021;500
9;женщины;2021;1494
10;мужчины;2021;403
10;женщины;2021;1070
11;мужчины;2021;980
11;женщины;2021;2922
12;мужчины;2021;622
12;женщины;2021;1709
13;мужчины;2021;307
13;женщины;2021;1027
